-90.0  0.000
-86.0  0.000
-82.0  0.000
-78.0  0.229
-74.0  0.412
-70.0  0.621
-66.0  0.915
-62.0  1.000
-58.0  1.000
-54.0  0.988
-50.0  0.983
-46.0  0.967
-42.0  0.954
-38.0  0.929
-34.0  0.873
-30.0  0.792
-26.0  0.775
-22.0  0.752
-18.0  0.758
-14.0  0.775
-10.0  0.795
 -6.0  0.763
 -2.0  0.754
  2.0  0.800
  6.0  0.771
 10.0  0.743
 14.0  0.752
 18.0  0.700
 22.0  0.675
 26.0  0.613
 30.0  0.567
 34.0  0.579
 38.0  0.558
 42.0  0.502
 46.0  0.429
 50.0  0.408
 54.0  0.404
 58.0  0.458
 62.0  0.321
 66.0  0.237
 70.0  0.454
 74.0  0.742
 78.0  0.787
 82.0  1.000
 86.0  1.000
 90.0  1.000
